workload,step_id,engine,cold_median_ms,warm_min_ms,warm_median_ms,warm_p95_ms,warm_mean_ms,warm_stddev_ms,warm_n,cold_n,failures,result_sha256
tpch_read,q01,spark-default,4438.03,2543.36,2635.35,2889.49,2661.71,145.92,9,1,0,f58f74a8243733455bdf616626340ef97e6b11367a551e6759467ddfbbb1eb42
tpch_read,q02,spark-default,3265.64,1424.37,1538.09,1806.29,1578.76,151.32,9,1,0,0268868bb0e21a6d2b89dd8f75a5430e0ee32aa6d7f48b809691241754d53997
tpch_read,q03,spark-default,2573.64,1864.06,2005.81,2171.24,2012.00,119.22,9,1,0,2d553249f5e3a185d9d5e36474b1b1466c60aa08fd19a233a8c9f04158978d0b
tpch_read,q04,spark-default,2303.31,1322.20,1551.55,1786.31,1571.59,176.58,9,1,0,aa384751296d238a1c03d6b2d2f18ba043edacc1e8defb4b4abb265ade8a7a7c
tpch_read,q05,spark-default,3286.60,2569.97,2665.83,2956.00,2719.12,146.25,9,1,0,f610809c3fa3e7262797396e16a6912e4c8ac0a132dbc12c904123511cb05fde
tpch_read,q06,spark-default,892.85,288.75,323.06,478.03,349.97,79.24,9,1,0,8c41707b166c58798a33e959e325d85c2c74a4ec86a3ab56a270eb5922b08f2c
tpch_read,q07,spark-default,3420.27,2000.82,2177.24,2333.46,2188.04,101.94,9,1,0,80bafbf2d034f76e579ba5eb4fd641d23dc2f0d6c9495d10136b94efa6e04707
tpch_read,q08,spark-default,3792.75,2445.32,2560.65,2599.74,2533.48,56.86,9,1,0,a7d7b531f48f8f067760e1b929ff5a9fcb56946692d726edf0e6683aa6cdcbfe
tpch_read,q09,spark-default,3496.57,2206.96,2385.63,2528.37,2378.41,114.48,9,1,0,583f2be6313e47ed1c2e7609b6f0c52e1238eab83a1c3d17a3570badbbc6fbb9
tpch_read,q10,spark-default,3469.70,1985.16,2431.10,2804.90,2416.43,285.22,9,1,0,2c54a24123cdda3dc55a12b13b9992c1cb328307c8373dcb04e486969ff53fac
tpch_read,q11,spark-default,2602.76,1110.56,1208.49,1343.02,1230.14,94.87,9,1,0,b9b0f122498af3cddc1bac7a3b35e2f6d4a0022d1668e1783fc3da7127b35254
tpch_read,q12,spark-default,2274.59,1510.49,1815.28,1894.48,1765.32,140.01,9,1,0,dd0a33699edaf09e4bbb1f9a0acccc327e2dc1803559b95f5ac57fc7f57b4fe8
tpch_read,q13,spark-default,2007.40,938.27,1032.88,1172.35,1035.83,88.74,9,1,0,6d7027ae35d5e95c5c069f1de474e163f3ce4735fbe5c940dc4be2ec5bb4535c
tpch_read,q14,spark-default,1230.85,515.99,601.62,678.40,597.37,56.63,9,1,0,6d9454c9377f5ce4504c2b922d9043783bc0e2cb50c822fa7ea5a90e9692e62a
tpch_read,q15,spark-default,2954.83,1914.95,2732.31,2899.51,2665.15,296.13,9,1,0,905ffa96983a21c0cbc017ca2ce5bd537e0ffc4b6ab2a7e7c3571dfec71fe43f
tpch_read,q16,spark-default,2198.59,1117.15,1226.44,1415.64,1258.71,105.11,9,1,0,6f9beb69e549d728746da03c3070a7197435c224b54a2a1ba5961546637405fd
tpch_read,q17,spark-default,3179.36,2211.18,2463.74,2619.25,2460.84,128.57,9,1,0,5a9b9c66f8bcc43f117ff03ea20fc33d5360b4d32769795c94a845c9fcdbc91b
tpch_read,q18,spark-default,4087.68,2944.16,3198.46,3260.38,3149.43,114.69,9,1,0,04e5c9e7ed45b2444f083f611c72d247ddc766cf8030d812c5882d6acda79ab1
tpch_read,q19,spark-default,1826.08,547.98,575.33,700.33,600.19,57.81,9,1,0,0034f4e763032f8977cba3d91cd4113b6c292d27ee83d523095c2f8de7c40548
tpch_read,q20,spark-default,2605.04,1429.19,1612.22,1742.69,1603.04,104.47,9,1,0,43e7d9f27d6f37f5888ac3524f81e4d6cef30d065e717a71a0cb2a061e8f05ad
tpch_read,q21,spark-default,5305.65,3474.07,3947.83,4394.36,3996.15,306.86,9,1,0,2565090cf4b1091beff42eab29f9a82e88dc97499832f0f9d88e336e9bee4c06
tpch_read,q22,spark-default,1948.77,1134.36,1196.92,1286.64,1203.59,57.78,9,1,0,56040e6ed2c849e30c63d0e19c5193420aa69c6ce7d8918ebe0010830d3126b6
